trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.05763970036059618,,0.024482000153511763,5,0.05763970036059618,0.05763970036059618,0.044115100055933,1.4040286000818014,[-0.14833333333333334],[0.2916666666666667],[1],[0],[0],[1.3592742998152971],['target'],369964,001,2024-10-10_18h44.00.537,visualsearch,2024.1.5,None,2024-10-10 18h44.07.375286 +0530,
1,0,1,0,1.4357244004495442,,1.4073341004550457,5,1.4357244004495442,1.4357244004495442,0.017741600051522255,2.869835800025612,[0.39],[0.19666666666666666],[1],[0],[0],[1.44499670015648],['target'],369964,001,2024-10-10_18h44.00.537,visualsearch,2024.1.5,None,2024-10-10 18h44.07.375286 +0530,
2,0,2,0,2.909958100412041,,2.8724897000938654,10,2.909958100412041,2.909958100412041,0.026928399689495564,3.9866679003462195,[0.27166666666666667],[0.275],[1],[0],[0],[1.087456800043583],['target'],369964,001,2024-10-10_18h44.00.537,visualsearch,2024.1.5,None,2024-10-10 18h44.07.375286 +0530,
3,0,3,0,4.014755600132048,,3.9910703003406525,5,4.014755600132048,4.014755600132048,0.01594810001552105,5.101785800419748,[0.15666666666666668],[0.011666666666666667],[1],[0],[0],[1.0953509998507798],['target'],369964,001,2024-10-10_18h44.00.537,visualsearch,2024.1.5,None,2024-10-10 18h44.07.375286 +0530,
4,0,4,0,5.1309415004216135,,5.104563400149345,5,5.1309415004216135,5.1309415004216135,0.01191100012511015,6.617816700134426,[-0.45],[-0.056666666666666664],[1],[0],[0],[1.5015296996571124],['target'],369964,001,2024-10-10_18h44.00.537,visualsearch,2024.1.5,None,2024-10-10 18h44.07.375286 +0530,
5,0,5,0,6.664849400054663,,6.620624600443989,10,6.664849400054663,6.664849400054663,0.023573500104248524,8.41657550027594,[-0.17833333333333334],[-0.3433333333333333],[1],[0],[0],[1.772584999911487],['target'],369964,001,2024-10-10_18h44.00.537,visualsearch,2024.1.5,None,2024-10-10 18h44.07.375286 +0530,
6,0,6,0,8.46008350001648,,8.42047440027818,10,8.46008350001648,8.46008350001648,0.029959999956190586,10.349403600208461,[-0.38666666666666666],[0.43],[1],[0],[0],[1.8999144998379052],['target'],369964,001,2024-10-10_18h44.00.537,visualsearch,2024.1.5,None,2024-10-10 18h44.07.375286 +0530,
7,0,7,0,10.39363790024072,,10.352237600367516,10,10.39363790024072,10.39363790024072,0.030409500002861023,11.831667500082403,[0.09333333333333334],[-0.24333333333333335],[1],[0],[0],[1.4492596997879446],['target'],369964,001,2024-10-10_18h44.00.537,visualsearch,2024.1.5,None,2024-10-10 18h44.07.375286 +0530,
8,0,8,0,11.860729100182652,,11.834574100095779,5,11.860729100182652,11.860729100182652,0.016454500146210194,13.148974400013685,[0.46],[0.31333333333333335],[1],[0],[0],[1.298151500057429],['target'],369964,001,2024-10-10_18h44.00.537,visualsearch,2024.1.5,None,2024-10-10 18h44.07.375286 +0530,
9,0,9,0,13.176896100398153,,13.15234880009666,5,13.176896100398153,13.176896100398153,0.01554129971191287,15.263578500133008,[-0.195],[-0.04666666666666667],[1],[0],[0],[2.0960261998698115],['target'],369964,001,2024-10-10_18h44.00.537,visualsearch,2024.1.5,None,2024-10-10 18h44.07.375286 +0530,
