study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,,,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,3,3,0,,,p_as_tr_,,,pastry,[],[],[],[],[],[],[],,,,,0,3,3,4,32.2904298,,,,,,,,32.2671528,32.2904298,32.2904298,32.2904298,0.0047162,42.2676719,pastry,[],[],[],[],[],[],[],851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,4,4,0,,,_o_rd,,,board,[],[],[],[],[],[],[],,,,,0,4,4,10,42.2976463,,,,,,,,42.270391,42.2976463,42.2976463,42.2976463,0.0079437,52.2769873,board,[],[],[],[],[],[],[],851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,5,5,0,,,p_nc_l,,,pencil,[0.021666666666666667],[-0.29833333333333334],[1],[0],[0],[8.337978899944574],['text_3'],,,,,0,5,5,16,52.3048024,,,,,,,,52.2820345,52.3048024,52.3048024,52.3048024,0.0196214,60.6209342,pencil,[0.021666666666666667],[-0.29833333333333334],[1],[0],[0],[8.337978899944574],['text_3'],851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,6,6,0,,,k_y_,,,keys,[0.021666666666666667],[-0.29833333333333334],[1],[0],[0],[6.03905070014298],['text_3'],,,,,0,6,6,8,60.646981,,,,,,,,60.6254013,60.646981,60.646981,60.646981,0.0042542,66.6653282,keys,[0.021666666666666667],[-0.29833333333333334],[1],[0],[0],[6.03905070014298],['text_3'],851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,7,7,0,,,_ha_t,,,chart,[0.021666666666666667],[-0.29833333333333334],[1],[0],[0],[9.836024100193754],['text_3'],,,,,0,7,7,1,66.6914071,,,,,,,,66.6695752,66.6914071,66.6914071,66.6914071,0.0040686,76.506467,chart,[0.021666666666666667],[-0.29833333333333334],[1],[0],[0],[9.836024100193754],['text_3'],851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,8,8,0,,,t_hi_t,,,tshirt,[0.021666666666666667],[-0.29833333333333334],[1],[0],[0],[9.318430700106546],['text_3'],,,,,0,8,8,2,76.5322137,,,,,,,,76.5115356,76.5322137,76.5322137,76.5322137,0.0048624,85.8309116,tshirt,[0.021666666666666667],[-0.29833333333333334],[1],[0],[0],[9.318430700106546],['text_3'],851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,9,9,0,,,p_li_e,,,"police
",[0.09],[-0.30833333333333335],[1],[0],[0],[4.3069103001616895],['text_3'],,,,,0,9,9,7,85.8568666,,,,,,,,85.8358572,85.8568666,85.8568666,85.8568666,0.0047843,90.1437889,"police
",[0.09],[-0.30833333333333335],[1],[0],[0],[4.3069103001616895],['text_3'],851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,10,10,0,,,_ru_is,,,"crusie
",[0.09],[-0.30833333333333335],[1],[0],[0],[6.3517432999797165],['text_3'],,,,,0,10,10,6,90.16909,,,,,,,,90.1484809,90.16909,90.16909,90.16909,0.0044862,96.5009294,"crusie
",[0.09],[-0.30833333333333335],[1],[0],[0],[6.3517432999797165],['text_3'],851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,11,11,0,,,_ho_e,,,,[],[],[],[],[],[],[],,,,,0,11,11,12,96.529869,,,,,,,,96.5038274,96.529869,96.529869,96.529869,0.0027968,106.510104,,[],[],[],[],[],[],[],851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,12,12,0,,,l_pt_p,,,,[],[],[],[],[],[],[],,,,,0,12,12,0,106.5378381,,,,,,,,106.513889,106.5378381,106.5378381,106.5378381,0.0128599,116.5149407,,[],[],[],[],[],[],[],851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
,13,13,0,,,bo_t_e,,,bottle,[0.06666666666666667],[-0.30666666666666664],[1],[0],[0],[9.954280399950221],['text_3'],,,,,0,13,13,18,116.5447181,,,,,,,,116.5178803,116.5447181,116.5447181,116.5447181,0.0168595,126.4728519,bottle,[0.06666666666666667],[-0.30666666666666664],[1],[0],[0],[9.954280399950221],['text_3'],851282,1,2024-11-06_17h53.00.705,WORD PRIMING,2024.2.1post4,60.13286954,2024-11-06 17h53.09.248066 +0530
