study_word,thisN,thisTrialN,thisRepN,slider.response,slider.rt,test_words,Reference,old_new,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,trials.slider.response,trials.slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,trials_2.textbox.text,trials_2.mouse.x,trials_2.mouse.y,trials_2.mouse.leftButton,trials_2.mouse.midButton,trials_2.mouse.rightButton,trials_2.mouse.time,trials_2.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,,0,0,0,5,,,,,0.0915486,,0.0596974,0.0915486,0.0915486,6.4098271,1,6.318041,,,,,,,,,,,,,,,929337,1,2024-11-06_18h28.13.188,WORD PRIMING,2024.2.1post4,60.12195131,2024-11-06 18h28.28.434262 +0530
,,,,,,,,,,,,,,,,,0,1,1,12,,,,,6.4352874,,6.4193853,6.4352874,6.4352874,9.4236428,1,2.9724873,,,,,,,,,,,,,,,929337,1,2024-11-06_18h28.13.188,WORD PRIMING,2024.2.1post4,60.12195131,2024-11-06 18h28.28.434262 +0530
,,,,,,,,,,,,,,,,,0,2,2,4,,,,,9.4661776,,9.4337197,9.4661776,9.4661776,12.2703235,1,2.805655,,,,,,,,,,,,,,,929337,1,2024-11-06_18h28.13.188,WORD PRIMING,2024.2.1post4,60.12195131,2024-11-06 18h28.28.434262 +0530
,,,,,,,,,,,,,,,,,0,3,3,13,,,,,12.2966577,,12.2787053,12.2966577,12.2966577,13.3691715,1,1.0589912,,,,,,,,,,,,,,,929337,1,2024-11-06_18h28.13.188,WORD PRIMING,2024.2.1post4,60.12195131,2024-11-06 18h28.28.434262 +0530
,,,,,,,,,,,,,,,,,0,4,4,2,,,,,13.4121882,,13.3788958,13.4121882,13.4121882,14.3522843,1,0.9415062,,,,,,,,,,,,,,,929337,1,2024-11-06_18h28.13.188,WORD PRIMING,2024.2.1post4,60.12195131,2024-11-06 18h28.28.434262 +0530
,,,,,,,,,,,,,,,,,0,5,5,9,,,,,14.3781119,,14.3581599,14.3781119,14.3781119,15.6180069,1,1.2276365,,,,,,,,,,,,,,,929337,1,2024-11-06_18h28.13.188,WORD PRIMING,2024.2.1post4,60.12195131,2024-11-06 18h28.28.434262 +0530
,,,,,,,,,,,,,,,,,0,6,6,8,,,,,15.6436495,,15.6240156,15.6436495,15.6436495,16.8161755,1,1.1608469,,,,,,,,,,,,,,,929337,1,2024-11-06_18h28.13.188,WORD PRIMING,2024.2.1post4,60.12195131,2024-11-06 18h28.28.434262 +0530
,,,,,,,,,,,,,,,,,0,7,7,6,,,,,16.8423006,,16.8221925,16.8423006,16.8423006,22.0277114,1.953333333,5.173993,,,,,,,,,,,,,,,929337,1,2024-11-06_18h28.13.188,WORD PRIMING,2024.2.1post4,60.12195131,2024-11-06 18h28.28.434262 +0530
,,,,,,,,,,,,,,,,,0,8,8,3,,,,,22.0541671,,22.0345132,22.0541671,22.0541671,23.8095248,1.953333333,1.7441868,,,,,,,,,,,,,,,929337,1,2024-11-06_18h28.13.188,WORD PRIMING,2024.2.1post4,60.12195131,2024-11-06 18h28.28.434262 +0530
,,,,,,,,,,,,,,,,,0,9,9,1,,,,,23.8360637,,23.8154856,23.8360637,23.8360637,26.6381933,1.966666667,2.7919001,,,,,,,,,,,,,,,929337,1,2024-11-06_18h28.13.188,WORD PRIMING,2024.2.1post4,60.12195131,2024-11-06 18h28.28.434262 +0530
,,,,,,,,,,,,,,,,,0,10,10,11,,,,,26.6664436,,26.6447184,26.6664436,26.6664436,27.8529711,1.966666667,1.1760162,,,,,,,,,,,,,,,929337,1,2024-11-06_18h28.13.188,WORD PRIMING,2024.2.1post4,60.12195131,2024-11-06 18h28.28.434262 +0530
,,,,,,,,,,,,,,,,,0,11,11,7,,,,,27.8818836,,27.8610194,27.8818836,27.8818836,29.8214534,1,1.9281778,,,,,,,,,,,,,,,929337,1,2024-11-06_18h28.13.188,WORD PRIMING,2024.2.1post4,60.12195131,2024-11-06 18h28.28.434262 +0530
