key_resp.corr,key_resp.rt,,,,,,
0,None,,seqRT,ranRT,,Mean of seqRT,Mean of ranRT
0,1.0045121,,0.7645,0.8753624,,,
1,1.0256755,,0.43242,0.9536011,,,
0,0.9719376,,0.0546,0.9338452,,,
0,0.4217123,,0.9719376,0.8810049,,,
0,0.3911896,,0.4217123,0.8403218,,,
1,0.3599077,,0.3911896,0.7683832,,,
0,0.3582882,,0.3599077,0.4707705,,,
0,0.3509096,,0.3582882,1.2692037,,,
0,1.7360775,,0.3509096,1.0984568,,,
1,0.8730444,,0.054,0.9995967,,,
0,None,,0.8730444,0.5375393,,,
0,0.4552241,,0.5401,2.3955834,,,
0,0.3616967,,0.4552241,0.8954389,,,
1,0.7503073,,0.3616967,1.8025147,,,
0,0.4294655,,0.7503073,0.4657147,,,
0,0.383726,,0.4294655,1.0571506,,,
0,0.3641502,,0.383726,2.0417134,,,
1,1.0474491,,0.3641502,1.8947504,,,
0,1.3240368,,0.86011,1.0046319,,,
0,1.0151954,,0.306,2.3684526,,,
0,1.2488984,,0.0542,3.7725034,,,
1,2.2250086,,0.7054,1.9054159,,,
0,1.9449309,,0.0432,1.1397387,,,
0,1.481888,,0.403,0.005908,,,
0,1.9635878,,0.6086,1.698307,,,
1,0.445075,,0.0678,0.8797,,,
0,0.445932,,0.445075,1.1556398,,,
0,0.516674,,0.445932,1.4952956,,,
0,0.3294091,,0.516674,2.1287307,,,
1,0.4014614,,0.3294091,0.0324841,,,
0,0.3218588,,0.4014614,0.0236265,,,
0,0.6142283,,0.3218588,0.0835487,,,
0,0.4101684,,0.6142283,0.0390373,,,
1,0.4550415,,0.4101684,0.1949777,,,
0,1.0436563,,0.4550415,0.3573809,,,
0,0.624326,,0.5402,0.3404844,,,
0,0.3498842,,0.624326,0.0841965,,,
1,0.324078,,0.3498842,0.14291,,,
0,0.49519,,0.324078,0.0356245,,,
0,0.3102462,,0.49519,0.0542312,,,
0,0.8377302,,0.3102462,0.0549562,,,
1,1.9063336,,0.8377302,0.0453824,,,
0,2.045622,,0.789,0.037,,,
0,0.7903016,,0.5076,0.0618871,,,
0,0.7230367,,0.7903016,0.0631322,,,
1,0.4219716,,0.7230367,0.2319622,,,
0,0.5074464,,0.4219716,0.378221,,,
0,1.0206627,,0.5074464,0.2185797,,,
0,0.3864802,,0.54021,0.1272607,,,
1,1.5754995,,0.3864802,0.0705336,,,
0,0.5782124,,0.05789,1.886,,,
0,0.9729801,,0.5782124,0.1352327,,,
0,0.3412625,,0.9729801,0.1999371,,,
1,0.7285479,,0.3412625,0.0337555,,,
0,1.2422149,,0.7285479,0.3223878,,,
0,1.4145729,,0.4502,0.166211,,,
0,1.4798397,,0.0567,0.2079783,,,
1,0.7518943,,0.0564,0.1120724,,,
0,2.1758051,,0.7518943,0.143589,,,
0,0.4449356,,0.984,0.0363727,,,
0,0.7883465,,0.4449356,0.0357486,,,
1,0.571767,,0.7883465,0.0283201,,,
0,0.6276395,,0.571767,0.097,,,
0,0.9744609,,0.0639606,0.4496738,,,
0,0.8233025,,,,,,
1,0.8655228,,,,,,
0,0.5146303,,,,,,
0,0.4805486,,,,,,
0,0.3052785,,,,,,
1,0.4880499,,,,,,
0,0.458055,,,,,,
1,0.5615171,,,,,,
0,0.4426013,,,,,,
0,0.6658201,,,,,,
1,2.5705812,,,,,,
1,0.5692629,,,,,,
0,3.3656457,,,,,,
0,1.8369494,,,,,,
0,4.8342734,,,,,,
0,1.5094784,,,,,,
0,1.5060009,,,,,,
0,2.4116828,,,,,,
1,2.7558622,,,,,,
1,2.7960051,,,,,,
0,2.8738337,,,,,,
0,1.8975321,,,,,,
0,1.6370996,,,,,,
0,2.0814611,,,,,,
0,2.7892378,,,,,,
1,2.1805383,,,,,,
1,0.9398572,,,,,,
0,2.364062,,,,,,
0,2.1087258,,,,,,
1,2.1192165,,,,,,
0,1.8752414,,,,,,
1,2.1612968,,,,,,
0,7.3597524,,,,,,
0,0.5179218,,,,,,
0,1.5565853,,,,,,
1,1.6987421,,,,,,
0,0.728345,,,,,,
0,2.0486363,,,,,,
0,1.7397313,,,,,,
0,2.2486223,,,,,,
0,1.4254685,,,,,,
0,1.701121,,,,,,
0,2.4646837,,,,,,
1,1.8496693,,,,,,
0,2.7217615,,,,,,
1,2.755391,,,,,,
0,2.4139033,,,,,,
0,3.5949791,,,,,,
1,3.8251611,,,,,,
0,3.3634088,,,,,,
0,3.2701447,,,,,,
1,5.014972,,,,,,
1,1.7721428,,,,,,
0,1.809605,,,,,,
0,2.980858,,,,,,
0,0.9389342,,,,,,
1,1.8718012,,,,,,
1,2.6970309,,,,,,
0,1.6637453,,,,,,
0,2.0046448,,,,,,
0,1.1932873,,,,,,
0,1.7896677,,,,,,
0,3.0692747,,,,,,
0,1.714277,,,,,,
0,1.9482193,,,,,,
0,10.4308951,,,,,,
1,3.6697955,,,,,,
0,2.0825186,,,,,,
1,4.419203,,,,,,
0,1.9938995,,,,,,
1,3.1356649,,,,,,
1,1.6059059,,,,,,
0,3.3770524,,,,,,
0,1.3390183,,,,,,
0,2.0253809,,,,,,
1,2.6258772,,,,,,
1,1.0420933,,,,,,
0,2.3291449,,,,,,
0,2.3382762,,,,,,
0,2.9732164,,,,,,
0,2.9120766,,,,,,
1,0.0793211,,,,,,
0,0.1801611,,,,,,
0,0.134916,,,,,,
0,0.3106213,,,,,,
1,0.1801242,,,,,,
1,0.0482935,,,,,,
1,0.1163454,,,,,,
1,0.2013458,,,,,,
0,0.1358781,,,,,,
0,0.3818805,,,,,,
0,3.4800393,,,,,,
0,2.0933037,,,,,,
0,1.9107216,,,,,,
0,1.0311577,,,,,,
1,1.6276809,,,,,,
1,1.049973,,,,,,
1,1.7377205,,,,,,
0,1.1006677,,,,,,
0,0.926018,,,,,,
0,2.173648,,,,,,
0,1.4496538,,,,,,
0,0.9474677,,,,,,
0,1.1904959,,,,,,
0,1.0050331,,,,,,
0,1.4141312,,,,,,
1,1.2042431,,,,,,
0,1.1231433,,,,,,
0,7.2882571,,,,,,
0,0.8399465,,,,,,
0,1.5651276,,,,,,
0,1.8102858,,,,,,
0,0.9652983,,,,,,
0,1.063671,,,,,,
0,2.3309469,,,,,,
0,1.0348972,,,,,,
1,5.257036,,,,,,
0,0.9877565,,,,,,
0,2.165495,,,,,,
0,1.1074759,,,,,,
0,2.3709437,,,,,,
0,1.2656774,,,,,,
0,1.7775326,,,,,,
0,1.075699,,,,,,
1,1.6984965,,,,,,
0,0.9025981,,,,,,
1,1.1217298,,,,,,
0,0.9268371,,,,,,
0,1.5010613,,,,,,
0,0.5152425,,,,,,
1,0.9845093,,,,,,
0,1.0177052,,,,,,
0,0.4867639,,,,,,
0,1.1546582,,,,,,
0,0.8753624,,,,,,
1,0.9536011,,,,,,
0,0.9338452,,,,,,
0,0.8810049,,,,,,
0,0.8403218,,,,,,
0,0.7683832,,,,,,
0,0.4707705,,,,,,
0,1.2692037,,,,,,
